NAME                                               VERSION                                                  TYPE                            
@radix-ui/react-popper                             1.3.2                                                    npm                             
@radix-ui/react-portal                             1.1.13                                                   npm                             
@radix-ui/react-presence                           1.1.6                                                    npm                             
@radix-ui/react-primitive                          2.1.7                                                    npm                             
@radix-ui/react-progress                           1.1.11                                                   npm                             
@radix-ui/react-radio-group                        1.4.2                                                    npm                             
@radix-ui/react-roving-focus                       1.1.14                                                   npm                             
@radix-ui/react-scroll-area                        1.2.13                                                   npm                             
@radix-ui/react-select                             2.3.2                                                    npm                             
@radix-ui/react-separator                          1.1.11                                                   npm                             
@radix-ui/react-slider                             1.4.2                                                    npm                             
@radix-ui/react-slot                               1.3.0                                                    npm                             
@radix-ui/react-switch                             1.3.2                                                    npm                             
@radix-ui/react-tabs                               1.1.16                                                   npm                             
@radix-ui/react-toast                              1.2.18                                                   npm                             
@radix-ui/react-toggle                             1.1.13                                                   npm                             
@radix-ui/react-toggle-group                       1.1.14                                                   npm                             
@radix-ui/react-toolbar                            1.1.14                                                   npm                             
@radix-ui/react-tooltip                            1.2.11                                                   npm                             
@radix-ui/react-use-callback-ref                   1.1.2                                                    npm                             
@radix-ui/react-use-controllable-state             1.2.3                                                    npm                             
@radix-ui/react-use-effect-event                   0.0.3                                                    npm                             
@radix-ui/react-use-escape-keydown                 1.1.3                                                    npm                             
@radix-ui/react-use-is-hydrated                    0.1.1                                                    npm                             
@radix-ui/react-use-layout-effect                  1.1.2                                                    npm                             
@radix-ui/react-use-previous                       1.1.2                                                    npm                             
@radix-ui/react-use-rect                           1.1.2                                                    npm                             
@radix-ui/react-use-size                           1.1.2                                                    npm                             
@radix-ui/react-visually-hidden                    1.2.7                                                    npm                             
@radix-ui/rect                                     1.1.2                                                    npm                             
@redis/client                                      1.5.11                                                   npm                             
@redis/client                                      1.5.12                                                   npm                             
@rolldown/binding-linux-arm64-gnu                  1.1.3                                                    npm                             
@rolldown/binding-linux-arm64-musl                 1.1.3                                                    npm                             
@rolldown/pluginutils                              1.0.1                                                    npm                             
@sentry-internal/feedback                          7.119.1                                                  npm                             
@sentry-internal/replay-canvas                     7.119.1                                                  npm                             
@sentry-internal/tracing                           7.119.1                                                  npm                             
@sentry/browser                                    7.119.1                                                  npm                             
@sentry/core                                       7.119.1                                                  npm                             
@sentry/integrations                               7.119.1                                                  npm                             
@sentry/replay                                     7.119.1                                                  npm                             
@sentry/types                                      7.119.1                                                  npm                             
@sentry/utils                                      7.119.1                                                  npm                             
@sigstore/bundle                                   4.0.0                                                    npm                             
@sigstore/core                                     3.0.0                                                    npm                             
@sigstore/protobuf-specs                           0.5.0                                                    npm                             
@sigstore/sign                                     4.0.1                                                    npm                             
@sigstore/tuf                                      4.0.0                                                    npm                             
@sigstore/verify                                   3.0.0                                                    npm                             
@socket.io/component-emitter                       3.1.0                                                    npm                             
@socket.io/component-emitter                       3.1.2                                                    npm                             
@socket.io/component-emitter                       UNKNOWN                                                  npm           (+1 duplicate)    
@tabby_ai/hijri-converter                          1.0.5                                                    npm                             
@tailwindcss/node                                  4.3.2                                                    npm                             
@tailwindcss/oxide                                 4.3.2                                                    npm                             
@tailwindcss/oxide-linux-arm64-gnu                 4.3.2                                                    npm                             
@tailwindcss/oxide-linux-arm64-musl                4.3.2                                                    npm                             
@tailwindcss/vite                                  4.3.2                                                    npm                             
@tanstack/react-table                              8.21.3                                                   npm                             
@tanstack/react-virtual                            3.14.5                                                   npm                             
@tanstack/table-core                               8.21.3                                                   npm                             
@tanstack/virtual-core                             3.17.3                                                   npm                             
@trysound/sax                                      0.2.0                                                    npm                             
@tufjs/canonical-json                              2.0.0                                                    npm                             
@tufjs/models                                      4.0.0                                                    npm                             
@types/cookie                                      0.4.1                                                    npm                             
@types/cors                                        2.8.17                                                   npm                             
@types/debug                                       4.1.13                                                   npm                             
@types/estree                                      1.0.9                                                    npm                             
@types/estree-jsx                                  1.0.5                                                    npm                             
@types/hast                                        3.0.4                                                    npm                             
@types/json-schema                                 7.0.15                                                   npm                             
@types/mdast                                       4.0.4                                                    npm                             
@types/ms                                          2.1.0                                                    npm                             
@types/node                                        20.10.0                                                  npm                             
@types/node                                        22.20.1                                                  npm                             
@types/node                                        25.9.4                                                   npm                             
@types/react                                       19.2.17                                                  npm                             
@types/react-dom                                   19.2.3                                                   npm                             
@types/unist                                       2.0.11                                                   npm                             
@types/unist                                       3.0.3                                                    npm                             
@types/web-bluetooth                               0.0.16                                                   npm                             
@types/web-bluetooth                               0.0.20                                                   npm                             
@typescript-eslint/eslint-plugin                   8.62.1                                                   npm                             
@typescript-eslint/parser                          8.62.1                                                   npm                             
@typescript-eslint/project-service                 8.62.1                                                   npm                             
@typescript-eslint/scope-manager                   8.62.1                                                   npm                             
@typescript-eslint/tsconfig-utils                  8.62.1                                                   npm                             
@typescript-eslint/type-utils                      8.62.1                                                   npm                             
@typescript-eslint/types                           8.62.1                                                   npm                             
@typescript-eslint/typescript-estree               8.62.1                                                   npm                             
@typescript-eslint/utils                           8.62.1                                                   npm                             
@typescript-eslint/visitor-keys                    8.62.1                                                   npm                             
@ungap/structured-clone                            1.3.2                                                    npm                             
@vitejs/plugin-react                               6.0.3                                                    npm                             
@vue-flow/background                               1.2.0                                                    npm                             
@vue-flow/core                                     1.26.0                                                   npm                             
@vue/compiler-core                                 3.3.9                                                    npm                             
@vue/compiler-dom                                  3.3.9                                                    npm                             
@vue/compiler-sfc                                  3.3.9                                                    npm                             
@vue/compiler-ssr                                  3.3.9                                                    npm                             
@vue/component-compiler                            4.2.4                                                    npm                             
@vue/component-compiler-utils                      3.3.0                                                    npm                             
@vue/devtools-api                                  6.5.1                                                    npm                             
@vue/reactivity                                    3.3.9                                                    npm                             
@vue/reactivity-transform                          3.3.9                                                    npm                             
@vue/runtime-core                                  3.3.9                                                    npm                             
@vue/runtime-dom                                   3.3.9                                                    npm                             
@vue/server-renderer                               3.3.9                                                    npm                             
@vue/shared                                        3.3.9                                                    npm                             
@vueuse/core                                       10.6.1                                                   npm                             
@vueuse/core                                       9.13.0                                                   npm                             
@vueuse/metadata                                   10.6.1                                                   npm                             
@vueuse/metadata                                   9.13.0                                                   npm                             
@vueuse/shared                                     10.6.1                                                   npm                             
@vueuse/shared                                     9.13.0                                                   npm                             
Package                                            UNKNOWN                                                  npm                             
Simple Launcher                                    1.1.0.14                                                 binary        (+11 duplicates)  
abbrev                                             1.1.1                                                    npm                             
abbrev                                             3.0.1                                                    npm                             
accepts                                            1.3.8                                                    npm                             
ace-builds                                         1.31.2                                                   npm                             
acorn                                              7.4.1                                                    npm                             
acorn                                              8.17.0                                                   npm                             
acorn-jsx                                          5.3.2                                                    npm                             
adduser                                            3.134                                                    deb                             
adler2                                             2.0.1                                                    rust-crate    (+1 duplicate)    
aes                                                0.8.4                                                    rust-crate    (+1 duplicate)    
agent-base                                         6.0.2                                                    npm                             
agent-base                                         7.1.4                                                    npm                             
aho-corasick                                       1.1.4                                                    rust-crate    (+1 duplicate)    
aiohappyeyeballs                                   2.7.1                                                    python                          
aiohttp                                            3.14.2                                                   python                          
aiohttp-retry                                      2.9.1                                                    python                          
aiosignal                                          1.4.0                                                    python                          
air-datepicker                                     2.2.3                                                    npm                             
ajv                                                6.15.0                                                   npm                             
allocator-api2                                     0.2.21                                                   rust-crate    (+1 duplicate)    
ambient-id                                         0.0.11                                                   rust-crate    (+1 duplicate)    
annotated-types                                    0.7.0                                                    python                          
ansi-regex                                         2.1.1                                                    npm                             
