NAME                                                                           VERSION                                                  TYPE                            
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining                 7.27.1                                                   npm                             
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly                  7.28.6                                                   npm                             
@babel/plugin-proposal-private-property-in-object                              7.21.0-placeholder-for-preset-env.2                      npm                             
@babel/plugin-syntax-import-assertions                                         7.28.6                                                   npm                             
@babel/plugin-syntax-import-attributes                                         7.28.6                                                   npm                             
@babel/plugin-syntax-jsx                                                       7.28.6                                                   npm                             
@babel/plugin-syntax-typescript                                                7.28.6                                                   npm                             
@babel/plugin-syntax-unicode-sets-regex                                        7.18.6                                                   npm                             
@babel/plugin-transform-arrow-functions                                        7.27.1                                                   npm                             
@babel/plugin-transform-async-generator-functions                              7.29.0                                                   npm                             
@babel/plugin-transform-async-to-generator                                     7.28.6                                                   npm                             
@babel/plugin-transform-block-scoped-functions                                 7.27.1                                                   npm                             
@babel/plugin-transform-block-scoping                                          7.28.6                                                   npm                             
@babel/plugin-transform-class-properties                                       7.28.6                                                   npm                             
@babel/plugin-transform-class-static-block                                     7.28.6                                                   npm                             
@babel/plugin-transform-classes                                                7.28.6                                                   npm                             
@babel/plugin-transform-computed-properties                                    7.28.6                                                   npm                             
@babel/plugin-transform-destructuring                                          7.28.5                                                   npm                             
@babel/plugin-transform-dotall-regex                                           7.28.6                                                   npm                             
@babel/plugin-transform-duplicate-keys                                         7.27.1                                                   npm                             
@babel/plugin-transform-duplicate-named-capturing-groups-regex                 7.29.0                                                   npm                             
@babel/plugin-transform-dynamic-import                                         7.27.1                                                   npm                             
@babel/plugin-transform-explicit-resource-management                           7.28.6                                                   npm                             
@babel/plugin-transform-exponentiation-operator                                7.28.6                                                   npm                             
@babel/plugin-transform-export-namespace-from                                  7.27.1                                                   npm                             
@babel/plugin-transform-for-of                                                 7.27.1                                                   npm                             
@babel/plugin-transform-function-name                                          7.27.1                                                   npm                             
@babel/plugin-transform-json-strings                                           7.28.6                                                   npm                             
@babel/plugin-transform-literals                                               7.27.1                                                   npm                             
@babel/plugin-transform-logical-assignment-operators                           7.28.6                                                   npm                             
@babel/plugin-transform-member-expression-literals                             7.27.1                                                   npm                             
@babel/plugin-transform-modules-amd                                            7.27.1                                                   npm                             
@babel/plugin-transform-modules-commonjs                                       7.28.6                                                   npm                             
@babel/plugin-transform-modules-systemjs                                       7.29.0                                                   npm                             
@babel/plugin-transform-modules-umd                                            7.27.1                                                   npm                             
@babel/plugin-transform-named-capturing-groups-regex                           7.29.0                                                   npm                             
@babel/plugin-transform-new-target                                             7.27.1                                                   npm                             
@babel/plugin-transform-nullish-coalescing-operator                            7.28.6                                                   npm                             
@babel/plugin-transform-numeric-separator                                      7.28.6                                                   npm                             
@babel/plugin-transform-object-rest-spread                                     7.28.6                                                   npm                             
@babel/plugin-transform-object-super                                           7.27.1                                                   npm                             
@babel/plugin-transform-optional-catch-binding                                 7.28.6                                                   npm                             
